Time_min,D16_micron,D50_micron,D84_micron
1,13.6264,23.4048,46.7393
2,11.5286,21.2025,48.2696
3,13.9787,23.6424,42.9815
4,13.863,20.2641,34.1021
5,14.8222,22.6041,45.6249
6,14.6918,23.8323,40.7859
7,15.5137,25.1749,45.178
8,15.6163,23.5313,36.6484
9,14.0248,20.9075,32.6555
10,13.6122,23.4885,37.0139
11,13.2216,21.619,36.8454
12,10.7105,19.6195,45.9634
13,10.8469,21.6353,43.8562
14,10.2875,17.2189,35.8335
15,10.4221,21.008,42.8117
16,10.5611,20.8442,47.9045
17,10.8426,22.1943,50.7447
18,11.2507,23.2445,50.2306
19,10.2631,23.1669,56.636
20,11.007,25.2456,50.0686
21,10.8246,25.1657,59.6702
22,10.8187,23.2234,54.4026
23,11.7631,25.383,53.4701
24,11.7834,29.4967,61.2913
25,11.3975,28.2706,62.8844
26,10.9184,28.6156,62.5781
27,12.155,32.0487,64.9153
28,13.4808,30.534,60.972
29,12.14,28.9851,61.3276
30,12.6441,29.2365,60.5139
31,12.7542,28.8464,59.3446
32,13.2133,29.5246,58.2525
33,13.1264,30.4722,59.3833
34,13.6626,28.8829,58.6321
35,14.1432,31.333,55.5718
36,13.7461,30.7695,56.1518
37,14.7544,32.0702,60.2458
38,14.7853,30.623,58.2454
39,16.6478,33.9305,63.9278
40,15.3597,34.2469,61.2295
41,16.25,33.9806,59.882
42,16.721,35.1419,63.6097
43,16.7983,36.5809,64.5745
44,17.489,35.4018,60.94
45,18.9869,41.2207,69.4622
46,18.3716,38.4963,69.1116
47,19.1785,42.7596,74.4855
48,20.9288,40.7985,74.2105
49,21.5375,41.4341,71.9678
50,23.7966,44.2859,75.4658
51,24.2462,46.0287,79.6469
52,24.754,47.0463,77.5188
53,23.1757,48.5055,79.7028
54,26.1879,48.0957,84.1805
55,25.5066,48.2616,83.8866
56,24.599,47.8199,83.1951
57,24.0954,45.203,79.2346
58,27.7989,49.264,81.9807
59,26.8384,48.1744,81.9399
60,26.9642,49.3096,87.9552
61,30.0766,50.0004,82.9375
62,27.8096,51.89,83.0989
63,26.9242,50.51,85.8979
64,29.6983,51.2956,84.0386
65,29.4872,53.2114,88.204
66,33.0735,53.9846,87.7578
67,28.8216,52.0827,83.5983
68,33.1401,55.7576,88.2916
69,32.9183,56.2328,89.2309
70,30.8766,53.88,87.5365
71,33.1778,55.3057,91.0172
72,33.2805,54.2915,91.821
73,33.9768,55.678,89.7831
74,35.5494,54.6533,90.0027
75,34.0485,56.5091,90.0836
76,33.1607,57.6663,93.911
77,35.1669,55.392,95.3266
78,32.504,54.6316,89.3969
79,34.5922,57.3903,96.0934
80,36.0179,58.3718,95.3867
81,36.7797,61.6611,98.6533
82,37.8919,60.1067,100.32
83,36.0268,60.9989,97.6688
84,37.2591,60.0113,100.308
85,36.8932,59.3515,97.9763
86,38.8742,59.8848,97.6817
87,38.8515,62.0893,97.3497
88,37.1018,61.7812,98.9572
89,39.9246,62.7932,101.884
90,38.7286,62.0177,103.682
91,40.1079,62.5458,101.934
92,40.1841,62.7879,100.653
93,41.0829,63.6748,103.957
94,40.7119,63.3113,101.638
95,39.5324,63.894,103.899
96,42.4365,65.3857,101.081
97,43.3982,66.8,110.6
98,42.7569,66.0315,104.339
99,43.2415,65.9143,103.169
100,45.6482,66.2796,107.754
101,42.903,68.4486,108.546
102,45.0004,65.3041,104.911
103,45.7092,68.0431,108.524
104,44.4662,66.2405,104.636
105,44.4035,67.126,106.088
106,42.896,65.9044,104.298
107,44.1055,68.1892,108.063
108,45.8888,66.9074,109.867
109,44.9069,67.4354,109.911
110,44.7367,66.0111,105.216
111,46.3958,67.5743,108.279
112,47.5415,70.1911,111.586
113,46.3567,66.6914,110.93
114,47.561,69.3322,110.172
115,47.4388,68.5524,112.474
116,47.6961,69.6205,112.299
117,48.2401,69.5223,107.468
118,46.8366,69.996,109.876
119,47.4134,67.4941,112.47
120,45.0085,70.4886,112.377
121,50,70.3553,111.742
122,49.2038,70.8781,112.803
123,49.2348,71.7174,117.721
124,49.0239,71.7559,112.854
125,48.1802,70.0188,112.765
126,49.3662,72.1984,113.819
127,50.2815,69.4296,111.116
128,50.1283,72.5213,116.73
129,49.5597,70.4758,109.522
130,49.3219,71.6105,113.068
131,48.6568,71.2269,114.883
132,52.4179,76.9961,119.339
133,52.4749,75.8548,116.716
134,52.7548,72.1607,113.352
135,49.2597,73.4144,119.628
136,49.7042,73.1078,115.621
137,51.2626,70.5252,112.75
138,49.6961,70.5014,113.62
139,51.4528,71.8648,114.578
140,50.9268,72.9871,118.799
141,49.5922,71.5671,112.847
