Time_min,D16_micron,D50_micron,D84_micron
226,97.8137,145.725,192.724
227,98.3107,134.79,180.71
228,93.1552,133.997,185.656
229,99.7795,138.838,190.144
230,97.5023,137.825,185.663
231,94.995,133.329,185.514
232,92.4354,135.512,182.39
233,98.4257,135.856,188.152
234,96.6709,139.827,189.576
235,94.568,139.402,191.794
236,99.8043,141.074,185.575
237,94.115,131.925,180.995
238,94.7331,133.657,189.696
239,90.6598,133.842,190.804
240,93.7644,135.011,183.742
241,95.5463,136.971,185.151
242,96.7831,133.204,184.029
243,93.6732,135.135,184.283
244,97.1912,136.704,197.932
245,94.3771,131.479,178.011
246,99.0308,137.96,179.923
247,93.5857,133.17,179.591
248,91.7086,133.101,183.81
249,96.8265,135.472,188.888
250,95.1679,134.007,186.533
251,90.6951,133.008,178.714
252,93.6091,132.667,180.895
253,96.3565,133.954,180.47
254,94.1903,132.651,182.229
255,91.7877,132.709,194.009
256,92.9303,132.315,184.882
257,96.5957,137.051,188.714
258,93.8572,130.016,180.008
259,95.5433,135.146,187.494
260,96.1434,134.414,177.847
261,95.3737,134.783,193.676
262,97.0319,132.751,179.66
263,94.9681,134.783,185.506
264,98.2797,137.169,174.324
265,93.4169,130.468,179.269
266,95.7114,136.168,180.933
267,95.6596,134.114,182.587
268,93.7627,133.553,180.601
269,100.106,136.469,180.963
270,94.9294,132.562,182.239
272.5,97.309,136.408,188.427
277.5,96.2155,132.418,176.719
282.5,96.3121,133.735,181.547
287.5,93.0822,136.87,183.044
292.5,94.1605,135.189,186.23
297.5,94.2035,132.009,178.189
302.5,92.5298,129.703,183.509
307.5,92.7426,134.295,180.943
312.5,91.7091,131.157,177.042
317.5,92.4018,130.713,181.029
322.5,90.4212,128.201,181.51
327.5,89.9261,127.346,172.918
332.5,90.8717,128.478,174.139
337.5,93.4588,130.359,176.37
342.5,88.0498,125.855,165.816
347.5,90.0173,126,170.004
352.5,92.2941,129.54,179.422
357.5,92.9637,130.793,173.548
362.5,90.4331,124.795,172.848
367.5,90.8274,123.827,171.787
372.5,88.9363,125.849,170.095
377.5,89.695,120.294,165.6
382.5,90.5541,123.564,168.529
387.5,87.1745,124.828,169.121
392.5,85.1348,122.916,164.689
397.5,88.3634,123.161,170.709
402.5,86.8271,123.467,162.014
407.5,86.6971,122.627,168.647
412.5,88.4369,124.891,170.885
417.5,89.7013,123.89,169.674
422.5,85.3098,121.742,164.025
427.5,83.9259,119.502,162.916
432.5,87.2173,121.066,159.317
437.5,84.7831,117.997,162.851
442.5,84.6342,119.633,162.824
447.5,87.8212,121.473,160.317
512.5,81.1543,113.65,157.914
517.5,82.5328,115.589,157.326
522.5,80.1253,115.667,158.593
527.5,81.8534,114.821,159.949
532.5,82.8137,114.837,158.627
537.5,79.6948,112.707,155.934
542.5,79.6675,112.333,154.763
547.5,78.4184,113.791,159.871
552.5,79.6167,113.585,150.988
557.5,81.1839,113.984,155.806
562.5,79.9965,113.3,160.801
567.5,81.5111,113.825,157.044
572.5,80.5783,113.856,155.007
577.5,79.6315,113.302,156.756
582.5,78.838,111.38,152.89
587.5,79.1309,112.285,155.052
592.5,79.032,114.638,154.682
597.5,78.9049,110.608,152.182
602.5,77.4058,112.538,148.191
607.5,78.6867,108.583,152.076
612.5,78.588,110.41,148.869
617.5,76.0385,108.143,147.449
622.5,77.0188,108.739,152.607
627.5,78.0633,111.122,150.858
632.5,79.8763,111.151,148.184
637.5,77.6771,108.89,148.441
642.5,79.34,109.372,150.211
647.5,77.3495,109.869,147.974
652.5,78.2206,110.944,149.758
657.5,75.9152,108.407,147.33
662.5,77.7796,108.976,148.96
667.5,76.8176,107.874,147.964
672.5,76.9057,108.695,146.336
677.5,75.1447,105.046,144.738
682.5,76.3365,106.253,143.796
687.5,77.3583,107.267,149.336
692.5,76.9527,110.517,146.574
697.5,77.5618,110.287,146.919
702.5,74.4461,106.835,142.717
707.5,77.8064,109.462,149.459
712.5,75.8064,104.556,140.01
717.5,77.0627,109.632,147.929
722.5,76.6749,108.626,145.562
727.5,76.6164,106.033,144.691
732.5,74.3835,105.832,147.342
737.5,74.0036,105.591,146.483
742.5,74.9408,107.349,150.36
747.5,76.3913,107.105,139.895
752.5,73.6237,104.629,140.994
757.5,73.2544,104.895,144.836
762.5,76.5983,107.879,145.811
767.5,74.9402,105.165,149.478
772.5,74.6054,105.267,144.874
777.5,75.2956,107.495,145.646
782.5,71.1021,101.468,141.258
787.5,73.7248,105.958,143.452
792.5,76.3967,104.803,145.297
797.5,73.7926,104.019,144.078
802.5,75.8732,104.068,141.765
807.5,73.5611,104.979,144.615
812.5,71.2725,102.486,143.305
817.5,75.0749,103.599,143.397
822.5,71.5966,102.505,146.442
827.5,73.4862,103.621,145.771
832.5,74.2129,103.561,141.648
837.5,71.2658,103.804,141.365
842.5,75.1834,103.588,142.964
847.5,74.1515,102.987,144.131
852.5,71.5688,100.951,137.483
857.5,74.6793,103.046,141.516
862.5,71.7032,101.958,138.664
867.5,71.8505,101.866,141.98
872.5,72.5973,102.763,141.295
877.5,72.2467,103.284,138.104
882.5,70.1786,99.3498,136.284
887.5,71.6789,101.629,138.695
892.5,71.7944,101.767,138.609
897.5,73.6981,101.982,138.465
902.5,71.6242,102.34,140.234
907.5,69.7559,100.306,138.183
912.5,72.4052,100.41,135.699
917.5,72.2842,101.159,139.167
922.5,70.8212,100.931,139.37
927.5,72.7108,102.731,141.853
932.5,72.3949,103.331,139.654
937.5,70.7703,100.754,140.624
942.5,72.5164,100.522,136.55
947.5,69.7982,101.678,139.726
